symbol,year,quarter,transcript_dt,report_timing,market_cap,composite,n_priors,level_z,drift_z,signal_blend,entry_date,entry_price,ret_open+30m,ret_open+60m,ret_open+120m,ret_close,ret_t1_close
0001.HK,2025,4,2026-03-23T00:00:00,BMO,222334112250.0,0.177443,11,0.0535,0.2515,0.2256,2026-03-30,58.0,0.009483,0.007759,0.016379,0.016379,0.025862
005380.KS,2025,3,2026-01-30T00:00:00,BMO,130157500000000.0,0.316747,8,0.7678,0.3453,0.3353,2026-02-06,458000.0,0.015284,0.004367,0.025109,0.020742,
005380.KS,2025,4,2026-01-29T00:00:00,BMO,137446320000000.0,0.377238,9,1.6191,-0.0523,0.0769,2026-02-05,503000.0,-0.006958,-0.005964,-0.017893,-0.028827,-0.070577
005930.KS,2025,4,2026-01-29T00:00:00,BMO,1082646184800000.0,0.285957,12,0.967,1.0359,0.7734,2026-02-05,163350.0,-0.003979,-0.000306,-0.009489,-0.024793,-0.029079
005930.KS,2026,1,2026-04-29T00:00:00,BMO,1526259134000000.0,0.229186,12,-1.0242,-1.2553,-0.7357,2026-05-06,258500.0,0.007737,-0.002901,0.01354,0.029014,0.05029
0142.HK,2025,4,2026-03-31T00:00:00,BMO,23327268767.0,0.138367,12,-0.7535,-0.0159,0.0381,2026-04-08,5.55,-0.010811,0.001802,0.001802,-0.007207,0.001802
015760.KS,2025,4,2026-02-26T00:00:00,BMO,41008018800000.0,0.090067,12,-0.004,1.5273,1.0243,2026-03-05,50000.0,-0.019,-0.0325,-0.041,-0.036,-0.024
017670.KS,2026,1,2026-05-07T00:00:00,BMO,19480570800000.0,0.344353,12,2.5908,3.3309,2.2856,2026-05-14,101300.0,0.01382,0.016782,0.022705,0.01382,0.0
030200.KS,2025,4,2026-02-10T00:00:00,BMO,14651887400000.0,0.268413,12,-0.0079,1.1547,0.8445,2026-02-19,65000.0,-0.001538,0.004615,0.010769,0.013846,
034220.KS,2025,4,2026-01-28T00:00:00,BMO,6065000000000.0,0.251417,12,0.0496,-2.0427,-1.2398,2026-02-04,11380.0,-0.001757,0.012302,0.01406,0.014938,0.006151
034220.KS,2026,1,2026-04-23T00:00:00,BMO,6625000000000.0,0.25348,12,-0.0915,-0.9588,-0.5345,2026-04-30,12500.0,-0.0072,-0.0072,-0.0128,-0.0192,
035420.KS,2025,4,2026-02-06T00:00:00,BMO,37346016000000.0,0.385729,7,0.5667,0.1132,0.2086,2026-02-13,252000.0,-0.005952,0.001984,0.002976,0.001984,
0522.HK,2025,4,2026-03-04T00:00:00,BMO,44965584000.0,0.25756,7,1.0648,0.0588,0.1283,2026-03-11,112.9,-0.013286,-0.007972,-0.019486,-0.022143,-0.026572
0522.HK,2026,1,2026-04-22T00:00:00,BMO,63368165599.0,0.25265,8,0.6891,-0.1021,0.0221,2026-04-29,167.8,-0.016091,-0.013111,-0.023838,-0.02205,-0.029797
0669.HK,2025,4,2026-03-04T00:00:00,BMO,222793149600.0,0.253164,7,0.2418,0.134,0.1757,2026-03-11,117.4,0.005963,0.000852,0.011073,0.002555,-0.020443
0700.HK,2026,1,2026-05-13T00:00:00,BMO,4178665800000.0,0.263229,12,0.5803,-0.6412,-0.3246,2026-05-20,460.0,-0.000435,-0.004783,-0.004783,-0.006522,-0.045652
0992.HK,2026,3,2026-02-12T00:00:00,BMO,121560909768.0,0.445758,12,-0.1295,-0.989,-0.4868,2026-02-20,9.29,-0.016146,-0.013994,-0.010764,-0.006459,
0992.HK,2026,4,2026-05-22T00:00:00,BMO,203056308000.0,0.526822,12,1.4832,2.2418,1.6416,2026-05-29,23.12,0.022491,0.041522,0.043253,0.037197,
1024.HK,2025,4,2026-03-25T00:00:00,BMO,228201418450.0,0.399053,12,-0.1212,0.9369,0.7487,2026-04-01,46.8,-0.017521,-0.016667,-0.011966,-0.012821,-0.040598
105560.KS,2025,4,2026-02-05T00:00:00,BMO,50705878500000.0,0.192122,12,1.6178,1.233,0.8687,2026-02-12,166000.0,-0.00241,-0.000602,-0.009036,0.007229,0.011446
1179.HK,2025,4,2026-03-18T00:00:00,BMO,129471566266.0,0.435504,12,2.6505,1.4267,1.0798,2026-03-25,39.84,0.011044,0.00251,-0.00251,-0.001004,-0.036647
1698.HK,2025,4,2026-03-17T00:00:00,BMO,176166432670.0,0.30514,12,0.216,-0.6684,-0.3276,2026-03-24,39.66,-0.029249,-0.025719,-0.025214,-0.007564,-0.013111
1810.HK,2025,4,2026-03-24T00:00:00,BMO,853320355920.0,0.177839,12,-1.0779,-0.5436,-0.2911,2026-03-31,32.38,0.000618,-0.001235,-0.017295,-0.020383,-0.012353
1913.HK,2025,4,2026-03-05T00:00:00,BMO,111001698360.0,0.336775,12,1.9633,2.1513,1.5162,2026-03-12,39.86,0.002007,0.003011,0.003011,0.001505,-0.02007
2015.HK,2025,4,2026-03-12T00:00:00,BMO,141779835154.0,0.220438,12,-0.5288,0.7141,0.5413,2026-03-19,66.2,0.006042,0.012085,0.006042,-0.003776,0.006042
2020.OL,2025,4,2026-02-11T00:00:00,BMO,3112730306.0,0.117139,12,-0.2043,-0.4166,-0.2298,2026-02-18,132.5,0.000755,0.000755,-0.005283,-0.003774,-0.003019
2057.HK,2025,4,2026-03-17T00:00:00,BMO,144901944216.0,0.310345,12,-1.6934,-1.9299,-1.1458,2026-03-24,193.0,0.001554,0.005699,0.005181,0.023316,0.010363
22UA.F,2025,4,2026-03-10T00:00:00,BMO,16879101723.0,0.267734,12,0.8349,0.1449,0.1879,2026-03-17,78.8,0.0,-0.002538,-0.005076,0.02665,0.005076
2303.TW,2025,4,2026-01-28T00:00:00,BMO,947763300000.0,0.293141,12,1.0211,0.2712,0.2789,2026-02-04,60.5,0.009917,0.008264,0.014876,0.021488,0.016529
2330.TW,2025,4,2026-01-15T00:00:00,BMO,43829724120000.0,0.199025,12,1.6295,1.2166,0.8604,2026-01-22,1760.0,0.002841,0.002841,0.002841,0.0,0.005682
2330.TW,2026,1,2026-04-16T00:00:00,BMO,54066258015000.0,0.191833,12,1.105,0.2678,0.2412,2026-04-23,2120.0,-0.004717,-0.023585,-0.025943,-0.018868,0.03066
2390.HK,2025,4,2026-03-25T00:00:00,BMO,1893555417.0,0.410311,12,4.4375,5.9309,3.9987,2026-04-01,7.2,0.0,0.0,0.0,0.016667,0.016667
2409.TW,2025,4,2026-02-16T00:00:00,BMO,121626037599.0,0.179232,12,0.2047,-0.5553,-0.2982,2026-02-23,16.35,0.009174,-0.003058,0.003058,-0.024465,0.0
2423.HK,2025,4,2026-03-16T00:00:00,BMO,145981665049.0,0.194113,12,-1.4087,-0.157,-0.0341,2026-03-23,41.12,-0.01751,-0.019942,-0.02821,-0.04572,-0.018969
2423.HK,2026,1,2026-05-19T00:00:00,BMO,149318403476.0,0.176236,12,-1.4083,-0.3232,-0.1484,2026-05-26,42.88,-0.01166,-0.005131,-0.005131,-0.019123,-0.005597
316140.KS,2025,4,2026-02-06T00:00:00,BMO,24452080950000.0,0.249634,12,1.1054,0.9825,0.726,2026-02-13,39750.0,0.002516,0.032704,0.027673,-0.020126,
3436.T,2025,4,2026-02-16T00:00:00,BMO,525965344000.0,0.046937,12,0.6412,1.0293,0.6854,2026-02-24,1636.0,0.001528,0.00978,0.001222,0.015892,0.012225
